"TimeStamp","Host","Uptime","HashRate"
"2018-05-12 06:00:11","m01","488.98","4731.9"
"2018-05-12 06:30:11","m01","489.48","4730.6"
"2018-05-12 07:00:11","m01","489.98","4731"
"2018-05-12 07:30:11","m01","490.48","4730.3"
"2018-05-12 08:00:11","m01","490.98","4735.7"
"2018-05-12 08:30:11","m01","491.48","4704.7"
"2018-05-12 09:00:11","m01","491.98","4730.4"
"2018-05-12 09:30:11","m01","492.48","4726.2"
"2018-05-12 10:00:11","m01","492.98","4723.4"
"2018-05-12 10:30:10","m01","493.48","4730.3"
"2018-05-12 11:00:11","m01","493.98","4729.6"
"2018-05-12 11:30:11","m01","494.48","4729.8"
"2018-05-12 12:00:11","m01","494.98","4718.2"
"2018-05-12 12:30:11","m01","495.48","4730.4"
"2018-05-12 13:00:11","m01","495.98","4682.7"
"2018-05-12 13:30:11","m01","496.48","4730.4"
"2018-05-12 14:00:12","m01","496.98","4735.1"
"2018-05-12 14:30:11","m01","497.48","4731"
"2018-05-12 15:00:10","m01","497.98","4729.9"
"2018-05-12 15:30:11","m01","498.48","4723.4"
"2018-05-12 16:00:11","m01","498.98","4727"
"2018-05-12 16:30:11","m01","499.48","4733.6"
"2018-05-12 17:00:11","m01","499.98","4729.4"
"2018-05-12 17:30:11","m01","500.48","4729"
"2018-05-12 18:00:11","m01","500.98","4732.9"
"2018-05-12 18:30:11","m01","501.48","4718.9"
"2018-05-12 19:00:11","m01","501.98","4725.5"
"2018-05-12 19:30:10","m01","502.48","4719.6"
"2018-05-12 20:00:11","m01","502.98","4720.7"
"2018-05-12 20:30:11","m01","503.48","4703.7"
"2018-05-12 21:00:11","m01","503.98","4719.9"
"2018-05-12 21:30:11","m01","504.48","4729"
"2018-05-12 22:00:11","m01","504.98","4726.7"
"2018-05-12 22:30:09","m01","505.48","4723.6"
"2018-05-12 23:00:11","m01","505.98","4731.5"
"2018-05-12 23:30:11","m01","506.48","4730.3"
"2018-05-13 00:00:11","m01","506.98","4730.2"
"2018-05-13 00:30:11","m01","507.48","4730.7"
"2018-05-13 01:00:11","m01","507.98","4726.4"
"2018-05-13 01:30:11","m01","508.48","4725"
"2018-05-13 02:00:11","m01","508.98","4727.6"
"2018-05-13 02:30:10","m01","509.48","4711.8"
"2018-05-13 03:00:11","m01","509.98","4730.8"
"2018-05-13 03:30:10","m01","510.48","4728"
"2018-05-13 04:00:09","m01","510.98","4730.8"
"2018-05-13 04:30:10","m01","511.48","4729.1"
"2018-05-13 05:00:10","m01","511.98","4721.1"
"2018-05-13 05:30:11","m01","512.48","4730.5"
"2018-05-13 06:00:11","m01","512.98","4729.8"
"2018-05-13 06:30:10","m01","513.48","4730.8"
"2018-05-13 07:00:11","m01","513.98","4710.4"
"2018-05-13 07:30:11","m01","514.48","4728.3"
"2018-05-13 08:00:11","m01","514.98","4731.4"
"2018-05-13 08:30:12","m01","515.48","4735.4"
"2018-05-13 09:00:11","m01","515.98","4729.9"
"2018-05-13 09:30:11","m01","516.48","4730.6"
"2018-05-13 10:00:11","m01","516.98","4732"
"2018-05-13 10:30:11","m01","517.48","4729.1"
"2018-05-13 11:00:11","m01","517.98","4730.3"
"2018-05-13 11:30:11","m01","518.48","4730.1"
"2018-05-13 12:00:11","m01","518.98","4732.8"
"2018-05-13 12:30:10","m01","519.48","4722.7"
"2018-05-13 13:00:11","m01","519.98","4677.5"
"2018-05-13 13:30:10","m01","520.48","4731.1"
"2018-05-13 14:00:11","m01","520.98","4731.6"
"2018-05-13 14:30:09","m01","521.48","4730.1"
"2018-05-13 15:00:11","m01","521.98","4730.1"
"2018-05-13 15:30:11","m01","522.48","4712.4"
"2018-05-13 16:00:11","m01","522.98","4723.9"
"2018-05-13 16:30:11","m01","523.48","4729.2"
"2018-05-13 17:00:11","m01","523.98","4731.4"
"2018-05-13 17:30:11","m01","524.48","4730.5"
"2018-05-13 18:00:11","m01","524.98","4734.4"
"2018-05-13 18:30:11","m01","525.48","4723"
"2018-05-13 19:00:11","m01","525.98","4729.4"
"2018-05-13 19:30:11","m01","526.48","4730.4"
"2018-05-13 20:00:11","m01","526.98","4724.7"
"2018-05-13 20:30:10","m01","527.48","4696.3"
"2018-05-13 21:00:11","m01","527.98","4730.5"
"2018-05-13 21:30:11","m01","528.48","4731.5"
"2018-05-13 22:00:11","m01","528.98","4730.4"
"2018-05-13 22:30:11","m01","529.48","4731"
"2018-05-13 23:00:11","m01","529.98","4721.7"
"2018-05-13 23:30:11","m01","530.48","4729.9"
"2018-05-14 00:00:11","m01","530.98","4730.3"
"2018-05-14 00:30:11","m01","531.48","4678.3"
"2018-05-14 01:00:12","m01","531.98","4734.8"
"2018-05-14 01:30:11","m01","532.48","4730.7"
"2018-05-14 02:00:11","m01","532.98","4719.4"
"2018-05-14 02:30:11","m01","533.48","4730.4"
"2018-05-14 03:00:11","m01","533.98","4730.7"
"2018-05-14 03:30:11","m01","534.48","4729"
"2018-05-14 04:00:11","m01","534.98","4730.7"
"2018-05-14 04:30:10","m01","535.48","4729.1"
"2018-05-14 05:00:11","m01","535.98","4730.3"
"2018-05-14 05:30:10","m01","536.48","4691.4"
"2018-05-14 06:00:11","m01","536.98","4732.2"
"2018-05-14 06:30:11","m01","537.48","4724.7"
"2018-05-14 07:00:11","m01","537.98","4734.6"
"2018-05-14 07:30:11","m01","538.48","4729.9"
"2018-05-14 08:00:11","m01","538.98","4727.3"
"2018-05-14 08:30:11","m01","539.48","4723.7"
"2018-05-14 09:00:11","m01","539.98","4731.1"
"2018-05-14 09:30:11","m01","540.48","4730"
"2018-05-14 10:00:11","m01","540.98","4725"
"2018-05-14 10:30:12","m01","541.48","4735.5"
"2018-05-14 11:00:11","m01","541.98","4730.9"
"2018-05-14 11:30:11","m01","542.48","4716.6"
"2018-05-14 12:00:13","m01","542.98","4734.9"
"2018-05-14 12:30:11","m01","543.48","4728.3"
"2018-05-14 13:00:11","m01","543.98","4729"
"2018-05-14 13:30:11","m01","544.48","4720.4"
"2018-05-14 14:00:11","m01","544.98","4734.6"
"2018-05-14 14:30:11","m01","545.48","4731.4"
"2018-05-14 15:00:11","m01","545.98","4733.7"
"2018-05-14 15:30:11","m01","546.48","4733.1"
"2018-05-14 16:00:11","m01","546.98","4714.3"
"2018-05-14 16:30:12","m01","547.48","4734.8"
"2018-05-14 17:00:11","m01","547.98","4726.4"
