"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","Fan_1","Fan_2"
"2018-07-06 01:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 01:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 02:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 02:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 03:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 03:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 04:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 04:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 05:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 05:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 06:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 06:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 07:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 07:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 08:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 08:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 09:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 09:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 10:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 10:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 11:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 11:40:18","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 12:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 12:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 13:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 13:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 14:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 14:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 15:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 15:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 16:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 16:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 17:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 17:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 18:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 18:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 19:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 19:40:18","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 20:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 20:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 21:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 21:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 22:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 22:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 23:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 23:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 00:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 00:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 01:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 01:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 02:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 02:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 03:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 03:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 04:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 04:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 05:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 05:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 06:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 06:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 07:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 07:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 08:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 08:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 09:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 09:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 10:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 10:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 11:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 11:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 12:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 12:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 13:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 13:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 14:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 14:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 15:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 15:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 16:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 16:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 17:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 17:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 18:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 18:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 19:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 19:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 20:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 20:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 21:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 21:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 22:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 22:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 23:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 23:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 00:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 00:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 01:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 01:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 02:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 02:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 03:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 03:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 04:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 04:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 05:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 05:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 06:10:17","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 06:40:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 07:10:16","s91","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 07:40:17","s91","-","-","-","-","-","","","","","","","","","","",""
